epoch;accuracy;loss;val_accuracy;val_loss
0;0.7789963483810425;0.6105157732963562;0.813829779624939;0.41885891556739807
0;0.7793287038803101;0.6724869012832642;0.832446813583374;0.36507636308670044
1;0.8477899432182312;0.35521936416625977;0.835106372833252;0.3655727505683899
2;0.8471252918243408;0.3506401777267456;0.8590425252914429;0.299763023853302
3;0.8624127507209778;0.32638028264045715;0.8191489577293396;0.4223107397556305
4;0.8697241544723511;0.3171541392803192;0.8696808218955994;0.3267436921596527
5;0.8657361268997192;0.3145328760147095;0.8803191781044006;0.2771506905555725
6;0.8670654892921448;0.32317978143692017;0.8590425252914429;0.34340453147888184
7;0.8770355582237244;0.30446121096611023;0.8723404407501221;0.3103387653827667
8;0.8740445375442505;0.29624462127685547;0.8723404407501221;0.28388890624046326
9;0.8767032027244568;0.30533525347709656;0.8563829660415649;0.3205958902835846
10;0.8820205926895142;0.2967717945575714;0.8297872543334961;0.4020092189311981
11;0.8777002096176147;0.2941373884677887;0.8590425252914429;0.34511736035346985
12;0.8899966478347778;0.2816513776779175;0.8590425252914429;0.3331207036972046
13;0.8803589344024658;0.2805788815021515;0.8484042286872864;0.3412433862686157
14;0.8903290033340454;0.2746691405773163;0.8617021441459656;0.3215049207210541
15;0.8866733312606812;0.274604856967926;0.8776595592498779;0.2968386709690094
16;0.8956463932991028;0.26478418707847595;0.8723404407501221;0.3052550256252289
17;0.8939847350120544;0.2608531713485718;0.8484042286872864;0.4076603949069977
18;0.8889996409416199;0.2702725827693939;0.8590425252914429;0.30919286608695984
19;0.8760385513305664;0.2949397563934326;0.8829787373542786;0.2666402757167816
20;0.887005627155304;0.2835012376308441;0.8643617033958435;0.3314773738384247
21;0.8973080515861511;0.2632908821105957;0.8723404407501221;0.3116092383861542
22;0.8959787487983704;0.26591238379478455;0.8723404407501221;0.3296377956867218
23;0.8943170309066772;0.2651701271533966;0.853723406791687;0.3617974519729614
24;0.8919907212257385;0.26723048090934753;0.8563829660415649;0.33595770597457886
25;0.8919907212257385;0.256193071603775;0.8696808218955994;0.30184468626976013
26;0.8956463932991028;0.27005112171173096;0.8670212626457214;0.30587708950042725
27;0.8939847350120544;0.26930418610572815;0.8590425252914429;0.33488500118255615
28;0.8876703381538391;0.26473626494407654;0.8829787373542786;0.2790856659412384
29;0.8943170309066772;0.25362321734428406;0.8856382966041565;0.25454264879226685
30;0.9046194553375244;0.2468232661485672;0.853723406791687;0.351239413022995
31;0.9009637832641602;0.2524471580982208;0.8856382966041565;0.2826896905899048
32;0.9002991318702698;0.24065673351287842;0.8803191781044006;0.30569931864738464
33;0.903954803943634;0.24388189613819122;0.8723404407501221;0.33678051829338074
0;0.7863077521324158;0.6195141673088074;0.8430851101875305;0.4166974127292633
1;0.8381522297859192;0.373315691947937;0.8430851101875305;0.3796694278717041
2;0.858424723148346;0.3297608494758606;0.8430851101875305;0.38175076246261597
3;0.8604187369346619;0.32933706045150757;0.875;0.29241639375686646
4;0.8713858127593994;0.3114997148513794;0.8563829660415649;0.33877813816070557
5;0.8800265789031982;0.2950860559940338;0.853723406791687;0.33074653148651123
6;0.8680624961853027;0.31440022587776184;0.8031914830207825;0.5330987572669983
7;0.8770355582237244;0.30305761098861694;0.8563829660415649;0.36354348063468933
8;0.8803589344024658;0.30349865555763245;0.8803191781044006;0.2956888675689697
9;0.872715175151825;0.3120025396347046;0.8430851101875305;0.36037513613700867
10;0.8757061958312988;0.29725947976112366;0.853723406791687;0.36454570293426514
11;0.8936523795127869;0.27067914605140686;0.8590425252914429;0.37545245885849
12;0.886008620262146;0.2807968258857727;0.8696808218955994;0.30658361315727234
13;0.886008620262146;0.28359904885292053;0.835106372833252;0.3524889051914215
14;0.8843469619750977;0.2799140512943268;0.8723404407501221;0.30064019560813904
15;0.8876703381538391;0.28228890895843506;0.875;0.2912841737270355
16;0.8989697694778442;0.2698690593242645;0.8829787373542786;0.2670292258262634
17;0.8840146064758301;0.2718055248260498;0.8723404407501221;0.29247012734413147
18;0.9036224484443665;0.25412049889564514;0.875;0.31039959192276
19;0.8856763243675232;0.2742291986942291;0.8882978558540344;0.27224674820899963
20;0.8919907212257385;0.2670400142669678;0.8191489577293396;0.4335520267486572
21;0.8923230171203613;0.2755815088748932;0.8510638475418091;0.378908634185791
22;0.8933200240135193;0.264485239982605;0.8829787373542786;0.28230512142181396
23;0.8923230171203613;0.2654087245464325;0.8829787373542786;0.2721112072467804
24;0.8979727625846863;0.25180914998054504;0.896276593208313;0.2552392780780792
25;0.8886673450469971;0.2694322168827057;0.875;0.27451789379119873
26;0.8936523795127869;0.2654825448989868;0.8430851101875305;0.33982813358306885
27;0.90594881772995;0.239869624376297;0.8670212626457214;0.33620578050613403
28;0.8943170309066772;0.2541515529155731;0.9042553305625916;0.2496250569820404
29;0.891658365726471;0.2549385726451874;0.8404255509376526;0.38471925258636475
30;0.8989697694778442;0.2621873915195465;0.8829787373542786;0.29619261622428894
31;0.8986374139785767;0.24282972514629364;0.8776595592498779;0.31624504923820496
32;0.8983050584793091;0.25696077942848206;0.8510638475418091;0.4003850221633911
33;0.8963110446929932;0.2510376274585724;0.8776595592498779;0.282557874917984
34;0.9036224484443665;0.24350833892822266;0.8882978558540344;0.3105980157852173
35;0.9009637832641602;0.24140068888664246;0.9015957713127136;0.24751131236553192
36;0.9026254415512085;0.24173881113529205;0.8776595592498779;0.34088799357414246
37;0.9036224484443665;0.25970491766929626;0.8803191781044006;0.2578616142272949
38;0.9042871594429016;0.23781372606754303;0.875;0.2728712558746338
39;0.9066134691238403;0.24235358834266663;0.8696808218955994;0.2776793837547302
40;0.899302065372467;0.24383999407291412;0.8457446694374084;0.3442433476448059
41;0.90594881772995;0.24162191152572632;0.8723404407501221;0.34813666343688965
